true_label,BLL,FSRQ
BLL,0.9769381582736969,0.0230618417263031
BLL,0.2554267644882202,0.7445732355117798
BLL,0.8764440342783928,0.12355596572160721
BLL,0.6635200381278992,0.33647996187210083
BLL,0.9993377067148685,0.0006622932851314545
BLL,0.903439499437809,0.09656050056219101
FSRQ,0.23560649156570435,0.7643935084342957
BLL,0.8712831884622574,0.12871681153774261
BLL,0.9752399232238531,0.02476007677614689
FSRQ,0.15039372444152832,0.8496062755584717
FSRQ,0.34964317083358765,0.6503568291664124
FSRQ,0.0578770637512207,0.9421229362487793
BLL,0.6242267191410065,0.37577328085899353
BLL,0.9981036097742617,0.001896390225738287
BLL,0.9981736902846023,0.001826309715397656
BLL,0.6446900963783264,0.3553099036216736
BLL,0.7495337724685669,0.2504662275314331
FSRQ,0.10747677087783813,0.8925232291221619
BLL,0.8715604245662689,0.12843957543373108
BLL,0.8274140805006027,0.17258591949939728
FSRQ,0.39003467559814453,0.6099653244018555
BLL,0.8700339496135712,0.12996605038642883
BLL,0.9697747174650431,0.030225282534956932
FSRQ,0.20754122734069824,0.7924587726593018
FSRQ,0.3173708915710449,0.6826291084289551
BLL,0.6111977398395538,0.38880226016044617
BLL,0.9660361707210541,0.03396382927894592
BLL,0.46979957818984985,0.5302004218101501
BLL,0.8856055662035942,0.11439443379640579
BLL,0.9658621735870838,0.034137826412916183
BLL,0.7734057456254959,0.2265942543745041
BLL,0.5452179908752441,0.45478200912475586
BLL,0.9277512282133102,0.07224877178668976
FSRQ,0.1577441692352295,0.8422558307647705
FSRQ,0.05275171995162964,0.9472482800483704
BLL,0.9294485002756119,0.07055149972438812
BLL,0.9737222529947758,0.026277747005224228
BLL,0.9456933252513409,0.054306674748659134
BLL,0.7720543146133423,0.22794568538665771
FSRQ,0.06185787916183472,0.9381421208381653
FSRQ,0.07261663675308228,0.9273833632469177
FSRQ,0.11798679828643799,0.882013201713562
BLL,0.8952928259968758,0.10470717400312424
FSRQ,0.2162560224533081,0.7837439775466919
BLL,0.9940071338787675,0.00599286612123251
BLL,0.5164549648761749,0.4835450351238251
BLL,0.8890393152832985,0.11096068471670151
FSRQ,0.17111271619796753,0.8288872838020325
FSRQ,0.07718175649642944,0.9228182435035706
FSRQ,0.026324570178985596,0.9736754298210144
BLL,0.9166642725467682,0.08333572745323181
BLL,0.5336646735668182,0.46633532643318176
BLL,0.8562369793653488,0.14376302063465118
